bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
much more,2861,27,57,6,2,9,0,101
books and,2855,78,225,14,8,13,3,341
do the,2845,65,60,9,4,6,2,146
a living,2830,93,78,18,7,10,2,208
fantasy football,2827,30,9,0,0,0,0,39
proud member,2825,47,52,13,4,7,0,123
just want,2823,77,70,10,4,17,0,178
in nyc,2820,62,86,9,5,4,2,168
the power,2820,30,47,7,1,6,1,92
to travel,2819,17,30,2,1,1,0,51
i talk,2818,120,169,20,13,29,2,353
to 3,2818,25,51,1,0,1,0,78
college student,2816,136,116,30,27,13,4,326
side of,2816,60,62,9,8,11,3,153
love life,2814,5,16,0,1,2,0,24
here are,2813,138,112,6,4,7,7,274
it out,2808,49,61,7,10,14,2,143
at all,2806,53,49,12,5,8,1,128
up with,2804,38,54,5,3,6,0,106
to build,2800,25,22,3,2,0,0,52
digital artist,2797,167,247,76,44,66,8,608
to read,2797,31,124,10,1,8,1,175
proud mom,2796,0,105,1,0,3,0,109
school district,2796,6,13,0,0,0,0,19
the sun,2791,26,75,14,7,10,0,132
fighting for,2787,62,110,5,6,5,0,188
now i,2783,71,71,9,10,4,0,165
some of,2779,64,44,9,5,6,1,129
work for,2775,59,52,5,2,3,4,125
to provide,2775,6,4,3,0,0,0,13
political junkie,2774,61,83,1,1,0,1,147
science and,2773,91,107,8,3,4,3,216
all your,2772,18,36,1,0,5,1,61
give up,2771,12,27,3,1,3,0,46
my new,2762,38,34,11,0,2,0,85
loving life,2760,12,22,0,1,1,0,36
and lover,2758,64,110,9,2,9,2,196
we all,2755,44,45,8,1,2,1,101
is just,2754,43,72,12,2,11,1,141
be happy,2753,22,43,4,1,4,0,74
18 nsfw,2751,180,111,42,41,27,10,411
well as,2747,33,25,5,5,5,1,74
am i,2746,74,104,21,8,15,1,223
me out,2745,45,42,5,5,7,2,106
always be,2740,31,52,3,3,5,0,94
sports enthusiast,2738,19,27,1,1,1,0,49
a simple,2737,48,38,10,4,6,1,107
sense of,2733,36,64,5,0,6,1,112
it was,2731,37,60,5,5,4,0,111
//www facebook,2724,5,7,1,0,0,0,13
trump supporter,2723,1,6,0,0,0,0,7
don’t be,2722,47,56,7,5,9,1,125
help tweet,2721,0,0,0,0,0,0,0
job tweets,2719,0,0,0,0,0,0,0
tweets my,2718,129,282,10,7,10,1,439
affiliated with,2718,37,33,3,2,6,1,82
to give,2718,22,42,1,3,2,1,71
teacher and,2716,43,60,0,1,4,2,110
b s,2715,62,73,8,6,8,0,157
addicted to,2714,74,91,9,3,7,0,184
http //onlyfans,2713,21,38,18,5,4,1,87
thoughts are,2708,123,189,19,6,18,1,356
and friends,2708,21,18,2,3,2,0,46
life with,2705,23,40,4,1,4,0,72
the u,2705,21,24,0,1,1,1,48
