token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
great,29537,0.009,0.011,0.001,0.0,0.001,0.0,0.023
their,23539,0.007,0.009,0.004,0.001,0.002,0.0,0.023
beautiful,21697,0.007,0.013,0.001,0.001,0.001,0.0,0.023
11,11688,0.007,0.012,0.001,0.001,0.001,0.0,0.023
1st,11195,0.008,0.012,0.002,0.001,0.001,0.0,0.023
district,10818,0.009,0.012,0.0,0.0,0.0,0.0,0.023
network,10305,0.013,0.008,0.001,0.001,0.001,0.0,0.023
everyday,8911,0.009,0.011,0.001,0.001,0.001,0.001,0.023
simple,8880,0.012,0.008,0.002,0.001,0.001,0.0,0.023
government,8755,0.011,0.009,0.001,0.001,0.0,0.0,0.023
owned,8446,0.007,0.013,0.002,0.0,0.001,0.0,0.023
click,7443,0.007,0.011,0.002,0.001,0.002,0.0,0.023
georgia,6650,0.01,0.011,0.0,0.001,0.001,0.0,0.023
grandma,6619,0.002,0.02,0.0,0.0,0.001,0.0,0.023
grace,6319,0.006,0.015,0.001,0.0,0.002,0.0,0.023
cubs,5986,0.012,0.01,0.001,0.0,0.001,0.0,0.023
news,42054,0.008,0.012,0.001,0.0,0.001,0.0,0.022
ceo,24375,0.009,0.011,0.001,0.0,0.001,0.0,0.022
florida,16609,0.01,0.01,0.001,0.001,0.0,0.0,0.022
group,13483,0.009,0.01,0.001,0.0,0.001,0.0,0.022
today,13197,0.007,0.013,0.001,0.001,0.001,0.0,0.022
rip,13118,0.009,0.009,0.001,0.001,0.002,0.0,0.022
st,11534,0.01,0.009,0.001,0.001,0.0,0.0,0.022
advisor,10694,0.008,0.012,0.0,0.001,0.001,0.0,0.022
