bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
225854,13.28291728284644,46.49021048996254,11.511861645133582,5.755930822566791,1.7710556377128588,2018_12_30
227224,15.40330246804915,51.49103967890716,12.762736330669295,6.601415343449635,4.841037918529733,2018_12_31
223851,13.848497438027975,45.11929810454276,12.061594542798558,7.594337304725018,2.680354342844124,2019_01_01
235405,14.443193644994796,41.20558186954398,13.16879420573055,7.221596822497398,3.398398504704658,2019_01_02
240968,11.619800139437602,41.084293350154375,11.619800139437602,6.639885793964344,1.659971448491086,2019_01_03
243401,13.147028976873555,46.83629073011204,10.271116388182465,6.1626698329094785,2.4650679331637915,2019_01_04
234364,16.640781007321944,46.508849482002354,14.934034237340207,8.533733849908689,2.5601201549726067,2019_01_05
215930,11.577826147362572,58.35224378270736,9.262260917890057,4.631130458945028,1.8524521835780114,2019_01_06
253708,13.401232913428036,44.5393917416873,12.21877118577262,5.1240008198401314,3.5473851829662446,2019_01_07
252796,10.284972863494676,39.55758793651798,10.680548742859855,5.142486431747338,2.3734552761910788,2019_01_08
249909,8.403058713371667,41.21500226082294,6.802476101300874,3.601310877159286,2.4008739181061904,2019_01_09
247163,11.328556458693251,47.74177364735013,12.542330364981813,6.473460833539001,3.2367304167695004,2019_01_10
238154,12.176994717703671,48.707978870814685,11.337201978551693,7.558134652367795,3.359170956607909,2019_01_11
231976,15.518846777252818,41.38359140600752,7.328344311480498,6.897265234334586,2.58647446287547,2019_01_12
235977,14.408183848425907,47.03848256397869,13.136873508858914,3.3901609055119777,1.2713103395669918,2019_01_13
243880,11.0710185337051,47.15433819911432,14.761358044940135,5.330490405117271,2.460226340823356,2019_01_14
248970,13.656263806884363,41.77210105635217,11.647989717636664,4.016548178495401,3.213238542796321,2019_01_15
248918,10.846945580472283,43.78952104709181,10.846945580472283,5.624342152837481,1.2052161756080315,2019_01_16
252993,15.810714130430487,44.66526741846612,8.695892771736768,6.719553505432956,1.5810714130430485,2019_01_17
241435,14.082465259800774,36.448733613602,9.940563712800547,7.45542278460041,2.4851409282001367,2019_01_18
236649,13.099569404476672,45.63720953817679,11.831869139527317,5.070801059797422,4.225667549831185,2019_01_19
264901,9.059988448514728,43.78994416782118,10.19248700457907,4.529994224257364,3.774995186881137,2019_01_20
253974,13.780938206273083,42.130296802034856,11.41849165662627,4.724893099293628,1.181223274823407,2019_01_21
253933,13.78316327535216,41.34948982605648,11.81413995030185,5.119460645130802,1.575218660040247,2019_01_22
259947,11.54081408902584,45.778562553135835,10.002038877155728,8.463263665285616,3.077550423740224,2019_01_23
253836,12.212609716509872,42.54715643171181,9.848878803636994,5.909327282182196,2.7576860650183583,2019_01_24
250407,11.58114589448378,38.33758640932562,11.181796036053305,5.590898018026652,2.795449009013326,2019_01_25
218939,13.245698573575288,38.36685104070084,12.788950346900279,6.3944751734501395,2.7404893600500597,2019_01_26
226505,13.686232092006799,54.744928368027196,14.12772344981347,7.063861724906735,3.9734222202600384,2019_01_27
