trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
stand with ukraine,1.539,2.394,1.403,2.541,-1.473,2.394,0.0,1.841
for business inquiries,1.758,3.312,-1.008,-1.049,2.971,1.048,0.0,1.838
i used to,3.728,2.487,1.67,-1.669,1.121,-1.012,3.517,1.819
feel free to,6.75,2.447,1.193,2.731,3.25,1.183,2.59,1.815
is my personal,1.299,1.921,1.854,1.72,-1.243,1.419,3.365,1.812
be kind to,2.232,1.97,1.599,2.252,1.872,2.201,0.0,1.806
i like the,1.679,1.982,1.731,1.663,-1.607,1.829,5.206,1.806
i don’t know,3.098,1.726,1.903,1.262,1.686,1.586,5.643,1.803
i stream on,1.572,2.571,-1.052,3.553,-1.504,1.172,13.901,1.802
formerly known as,1.24,2.013,1.138,3.153,5.055,1.981,3.525,1.802
find me on,3.157,1.355,2.051,2.123,1.654,1.751,2.769,1.795
the same time,1.756,1.76,2.08,0.0,1.19,1.749,4.978,1.795
co-host of the,2.625,3.622,-1.054,-4.696,-1.257,-1.424,3.33,1.794
don’t know what,1.445,1.645,1.839,1.16,-1.383,2.975,6.049,1.794
i try to,3.122,2.741,1.223,1.431,1.673,1.377,2.8,1.789
if you know,2.154,1.986,1.311,3.63,2.425,1.711,2.029,1.778
i have an,1.504,1.975,1.325,1.857,2.778,2.858,5.812,1.777
can be found,1.078,2.205,1.155,3.627,-1.032,2.849,0.0,1.776
my free time,1.135,1.885,1.61,2.952,0.0,2.165,0.0,1.758
i just wanna,1.839,1.293,1.896,2.734,2.272,2.004,0.0,1.757
just out here,1.159,1.333,2.221,-1.038,0.0,1.59,7.542,1.756
more than i,1.159,2.051,1.791,1.446,-1.109,1.06,0.0,1.756
used to be,2.957,2.13,1.741,-1.764,-2.83,1.661,4.434,1.754
at the same,1.866,1.783,1.958,0.0,1.12,1.975,4.684,1.753
views expressed here,1.304,2.37,1.592,-2.333,0.0,2.355,0.0,1.744
old enough to,1.052,1.92,1.894,1.593,1.986,0.0,0.0,1.744
i do is,1.466,-1.234,1.812,2.667,3.563,3.771,2.982,1.741
and i like,3.166,2.515,1.023,2.117,2.31,2.134,2.761,1.739
my own rts,1.242,2.2,1.805,-1.112,-1.189,-2.023,0.0,1.735
and all around,2.904,2.66,1.372,-2.6,2.518,-1.576,1.505,1.731
also known as,1.247,1.62,1.665,1.344,0.0,4.433,0.0,1.728
in love with,7.257,1.146,1.899,1.539,2.591,3.216,1.204,1.726
new york times,1.179,2.318,1.761,-2.109,-1.128,-1.92,0.0,1.726
twitch http //twitch,3.17,2.812,1.074,1.233,3.625,-2.581,1.379,1.724
try to be,1.714,3.259,-1.147,-1.534,2.438,1.075,0.0,1.722
trying to learn,1.142,3.33,1.018,-2.043,-1.093,-1.86,0.0,1.712
i don't have,1.282,2.225,1.49,1.743,1.629,-1.044,0.0,1.711
a little bit,3.484,1.637,1.906,-1.56,1.799,1.763,1.255,1.706
i wanna be,1.076,1.546,1.852,1.558,-1.03,2.283,0.0,1.705
in my head,1.53,1.398,1.791,1.825,2.731,1.606,2.857,1.695
working on my,1.414,1.681,1.879,1.58,2.955,0.0,0.0,1.693
streamer http //twitch,1.346,2.56,-1.081,3.735,0.0,1.369,3.247,1.689
by way of,2.013,1.476,2.227,-3.601,1.038,-1.639,2.171,1.685
stream on twitch,2.184,2.394,-1.052,2.813,-2.09,1.687,10.006,1.681
i work for,1.33,2.502,1.436,-2.379,-1.273,-2.166,6.572,1.68
at university of,1.521,2.5,1.529,-1.362,0.0,-2.477,2.874,1.679
my way through,1.074,1.881,1.468,1.04,1.945,2.288,4.07,1.671
the world a,3.166,2.215,1.547,-1.134,1.32,-1.031,0.0,1.664
this account is,3.556,1.938,1.378,1.728,2.644,1.555,2.458,1.661
i like to,15.16,1.756,1.544,1.621,1.309,2.066,2.018,1.65
what to put,1.069,2.112,1.087,1.045,4.886,1.724,4.089,1.643
girl with a,1.218,0.0,2.863,-2.179,0.0,3.53,0.0,1.638
love video games,1.438,2.81,-1.733,1.554,3.632,2.136,3.04,1.637
don't know what,1.293,1.746,1.285,2.592,3.231,1.9,0.0,1.636
in need of,1.198,1.686,1.941,-2.143,0.0,1.538,0.0,1.632
follow if you,1.03,1.616,1.048,3.253,3.043,1.789,12.73,1.627
some of my,1.403,1.864,1.361,2.388,2.978,-2.285,3.115,1.621
not necessarily in,2.391,2.187,1.632,-4.277,-2.288,-3.894,5.484,1.619
necessarily in that,2.375,2.202,1.643,-4.249,-2.273,-3.868,3.68,1.613
just your average,4.182,2.046,1.31,2.003,1.748,-1.135,3.135,1.612
of all trades,3.616,2.071,1.056,2.626,1.444,2.548,0.0,1.611
once in a,1.074,1.328,1.778,0.0,1.945,3.431,0.0,1.598
to make the,3.187,2.051,1.511,-1.141,-1.017,1.156,0.0,1.59
owner of a,1.355,1.754,1.532,1.237,3.083,-1.103,0.0,1.59
and lover of,4.729,1.508,1.844,1.063,-2.264,1.169,1.848,1.578
i just want,3.495,1.904,1.378,1.438,-1.115,2.109,0.0,1.575
but i am,1.827,1.301,1.545,3.057,-1.748,2.017,2.392,1.573
may not be,1.398,1.615,1.366,1.598,2.989,1.758,3.127,1.569
still trying to,1.096,1.41,2.046,-1.961,-1.049,-1.785,0.0,1.566
to be here,1.736,1.301,1.578,1.287,4.212,1.415,2.518,1.563
my own opinion,1.355,1.93,1.655,0.0,1.542,-2.207,3.226,1.561
be a better,1.616,1.912,1.593,0.0,1.293,1.52,0.0,1.556
hi my name,2.028,1.348,1.187,3.03,2.575,3.029,2.155,1.554
who likes to,2.805,2.076,-1.056,2.788,2.979,1.314,0.0,1.55
a good day,1.366,2.088,1.033,2.453,0.0,2.248,3.2,1.548
b s in,1.032,1.382,1.528,1.082,2.024,2.976,0.0,1.547
if you wanna,2.134,2.06,-1.168,3.403,1.958,1.439,2.048,1.533
be a good,2.035,1.81,1.346,1.372,2.567,1.207,0.0,1.529
i am very,1.096,1.193,1.743,2.038,-1.049,1.682,0.0,1.529
all tweets are,3.238,1.835,1.59,-1.449,-3.099,1.328,0.0,1.528
to dm me,1.027,2.199,-1.125,2.72,3.052,-1.673,0.0,1.515
my tweets are,6.649,2.127,1.261,1.512,1.1,-1.804,-1.521,1.512
that likes to,1.293,2.206,-1.198,3.456,0.0,1.9,0.0,1.512
mom to 2,1.401,0.0,2.963,-2.506,0.0,-1.141,0.0,1.51
a love for,1.269,1.779,1.112,2.201,2.47,1.452,3.444,1.509
trying to get,4.421,1.828,1.24,1.769,2.126,1.25,-1.011,1.507
playing video games,1.859,2.174,-1.018,1.502,-1.779,2.313,2.351,1.502
all the time,4.548,1.489,1.369,2.456,2.067,-1.058,2.883,1.5
king of the,1.144,2.389,-1.531,2.441,4.566,0.0,3.821,1.5
these are my,1.12,1.273,1.705,-1.003,-1.072,1.646,3.903,1.496
twitch affiliate http,1.04,2.514,-1.139,-1.86,4.017,-1.694,0.0,1.496
most of my,1.629,2.188,-1.09,1.029,2.565,1.885,2.683,1.494
i'm just here,2.702,1.275,1.383,1.86,1.16,2.955,3.235,1.491
a better world,1.528,1.944,1.196,1.462,2.734,-2.489,2.861,1.488
looking for my,1.019,2.566,-1.228,1.096,2.05,1.205,0.0,1.488
looking for friends,1.181,2.314,-1.186,1.892,4.423,0.0,0.0,1.487
from time to,1.616,2.206,-1.025,1.728,2.585,0.0,5.409,1.481
just trying to,11.602,1.496,1.338,2.166,1.711,1.694,-2.654,1.479
time to time,1.677,2.126,1.04,1.665,2.491,0.0,5.212,1.475
all of my,1.596,1.564,1.353,2.1,1.964,1.155,0.0,1.475
and content creator,1.245,2.578,-1.5,1.346,-1.191,2.467,0.0,1.474
proud owner of,1.056,2.138,-1.272,1.587,2.968,2.327,0.0,1.473
master of none,1.438,2.232,1.039,1.942,-1.376,-1.171,0.0,1.471
here to be,1.142,1.249,1.09,1.956,3.658,3.227,3.827,1.468
to make my,1.392,2.22,1.014,-1.246,3.752,-2.267,0.0,1.462
here to make,1.912,1.616,1.346,2.045,-1.83,1.606,0.0,1.461
but i do,1.15,1.653,1.299,1.457,-1.1,1.603,3.801,1.457
this is my,8.937,1.476,1.273,1.687,2.338,1.649,2.934,1.451
lover of all,8.774,1.436,1.694,1.018,-1.4,-1.786,1.494,1.446
equality for all,1.297,1.557,1.793,-2.32,-1.241,0.0,0.0,1.446
trying to find,3.038,1.721,1.257,1.103,1.032,2.022,1.439,1.445
the intersection of,1.906,1.621,1.612,1.172,-1.824,-3.104,0.0,1.444
when i can,1.192,2.094,-1.197,2.343,0.0,2.061,3.667,1.44
hello i am,1.137,2.195,-1.142,-1.018,2.756,1.621,0.0,1.439
is my favorite,2.173,1.805,1.337,1.028,-1.04,1.131,0.0,1.432
all trades master,1.229,2.224,-1.058,1.818,-1.176,-1.001,0.0,1.429
follow me if,1.569,2.272,-1.05,1.78,-1.501,-2.555,2.786,1.424
of my tweets,1.486,1.839,1.174,1.128,2.109,1.24,0.0,1.423
at the intersection,1.122,1.377,1.628,1.494,-1.074,-1.827,0.0,1.422
to be an,2.639,1.396,1.384,1.482,1.188,1.862,1.656,1.421
so i can,2.303,1.187,1.586,1.94,1.361,-1.25,1.898,1.421
here i am,1.46,1.547,1.251,2.678,0.0,1.683,0.0,1.421
