trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
love to play,716,9,9,1,1,0,0,20
for more than,716,0,3,1,0,0,0,4
is committed to,716,0,0,0,0,0,0,0
for the memes,715,15,19,1,1,1,0,37
to do the,715,14,13,2,0,1,0,30
is not monitored,715,0,0,0,0,0,0,0
the official page,714,0,0,0,0,0,0,0
lover of god,713,1,5,0,0,0,0,6
united states of,713,1,2,0,0,0,0,3
let me know,712,18,11,4,4,1,0,38
are the best,712,17,14,0,0,2,0,33
in the south,711,12,28,1,0,1,1,43
ig http //instagram,711,12,19,2,1,1,0,35
i do what,711,3,12,2,0,1,0,18
non-metro need help,711,0,0,0,0,0,0,0
views expressed here,710,26,25,1,0,5,0,57
want to make,710,22,13,3,2,4,0,44
looking to make,710,29,8,3,2,0,0,42
not here to,709,7,17,1,0,3,0,28
the most beautiful,708,3,9,2,0,2,0,16
is my personal,707,21,29,4,1,3,1,59
in real estate,707,0,0,0,0,0,0,0
equality for all,706,17,28,1,1,0,0,47
real estate and,706,2,2,0,0,0,0,4
with the best,705,4,6,1,0,0,0,11
medium copy link,705,1,7,0,1,0,0,9
me with your,705,2,3,1,0,0,0,6
i like video,704,87,34,12,5,7,0,145
don't know what,704,19,20,6,4,4,0,53
that likes to,704,24,13,8,0,4,0,49
not here for,704,4,18,3,0,3,0,28
and surrounding areas,704,0,0,0,0,0,0,0
mom to a,703,0,61,0,0,2,0,63
dm me to,703,13,14,3,4,1,0,35
i do it,703,10,10,2,0,2,0,24
know what to,702,14,16,0,4,1,1,36
adult content creator,702,7,11,4,4,1,0,27
my own rt,700,28,32,3,1,2,0,66
when i was,700,11,16,3,0,4,0,34
side of the,700,13,14,2,1,3,1,34
phil 4 13,700,0,3,0,0,0,0,3
amante de la,700,0,1,0,0,0,0,1
looking for some,699,11,5,1,0,0,0,17
in your life,699,6,7,1,0,0,0,14
i don't have,698,24,23,4,2,2,0,55
the link to,698,8,13,1,1,3,0,26
no matter how,698,5,8,0,0,1,0,14
my goal is,698,4,5,1,0,1,0,11
leave me alone,697,6,13,4,0,5,0,28
link in my,697,4,11,2,0,2,1,20
1st team all,697,1,0,0,0,0,0,1
to share my,696,15,8,2,1,4,0,30
and if you,696,4,10,1,1,1,0,17
and the world,696,3,8,2,0,2,0,15
it is the,696,3,3,0,0,0,0,6
