trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
of the world,4.99,4.991,3.736,1.676,5.223,5.528,0.0,4.149
video game enthusiast,1.128,5.823,3.238,3.91,4.178,1.843,8.741,4.149
if you are,4.751,4.754,3.487,4.468,3.134,4.299,13.112,4.11
at the university,4.417,5.348,4.151,1.676,4.178,0.614,0.0,4.11
what i'm doing,1.326,3.209,4.317,5.027,6.268,4.299,8.741,4.11
small business owner,5.29,2.496,5.729,1.676,2.089,4.299,0.0,4.07
i go by,1.001,2.852,2.823,8.378,14.624,6.142,21.853,4.07
i’m just here,4.504,3.565,4.982,2.793,1.045,3.071,0.0,4.03
i'm just here,2.702,3.446,3.736,5.027,3.134,7.984,8.741,4.03
be kind to,2.232,4.397,3.57,5.027,4.178,4.913,0.0,4.03
thoughts and opinions,1.468,5.704,3.653,0.559,5.223,1.228,4.371,4.03
one of the,7.918,6.299,2.657,1.676,4.178,4.299,0.0,3.95
is the best,5.143,5.704,3.321,1.676,4.178,1.228,8.741,3.95
living in a,2.917,2.852,4.732,4.468,3.134,3.685,4.371,3.95
jack of all,2.977,5.823,1.91,8.936,5.223,3.071,0.0,3.91
not necessarily in,2.391,5.229,3.902,0.559,1.045,0.614,13.112,3.87
and i am,4.671,3.684,3.736,5.027,3.134,4.299,4.371,3.83
necessarily in that,2.375,5.229,3.902,0.559,1.045,0.614,8.741,3.83
if you know,2.154,4.278,2.823,7.819,5.223,3.685,4.371,3.83
ph d candidate,1.076,3.09,4.982,2.234,0.0,3.071,4.371,3.83
i really like,1.008,3.684,3.238,3.91,7.312,5.528,13.112,3.83
is not a,3.168,4.041,3.736,3.351,4.178,2.457,8.741,3.79
world a better,2.718,4.635,3.902,1.676,3.134,1.843,0.0,3.79
18 only nsfw,1.253,6.061,1.827,6.144,3.134,4.299,4.371,3.79
to be an,2.639,3.684,3.653,3.91,3.134,4.913,4.371,3.75
you know me,2.015,4.041,2.657,8.936,5.223,3.685,4.371,3.75
the views of,1.951,6.061,3.238,1.117,2.089,0.0,0.0,3.75
https //www instagram,6.695,5.229,3.072,1.676,3.134,1.228,17.483,3.711
creator of the,2.619,6.061,2.242,3.351,3.134,3.685,0.0,3.711
lot of things,1.265,3.803,3.238,5.585,4.178,3.685,8.741,3.711
to make it,4.608,4.516,3.321,2.793,6.268,1.843,0.0,3.671
i live in,4.221,4.873,3.238,1.676,5.223,1.843,4.371,3.671
i’m just a,3.346,3.684,3.072,3.91,3.134,7.37,8.741,3.671
soon to be,2.911,3.684,3.487,5.585,3.134,1.843,13.112,3.671
stream on twitch,2.184,5.229,2.076,6.144,1.045,3.685,21.853,3.671
my best to,1.747,3.565,3.653,3.91,1.045,4.913,8.741,3.671
and other things,1.24,5.11,2.906,2.234,7.312,1.228,4.371,3.671
a passion for,3.782,3.328,4.068,3.91,4.178,1.228,4.371,3.631
who i am,4.974,4.159,3.736,3.351,2.089,0.614,4.371,3.591
lover of the,3.124,2.496,4.649,1.676,4.178,3.071,4.371,3.591
my own i,1.12,5.823,2.74,1.117,2.089,1.843,4.371,3.591
i follow back,5.257,4.278,3.321,2.793,2.089,3.685,0.0,3.551
to make a,5.023,3.446,3.819,3.91,2.089,3.071,0.0,3.551
trying to do,1.778,4.041,3.321,3.351,5.223,1.843,4.371,3.551
are always open,1.096,4.991,2.076,5.027,7.312,3.685,0.0,3.551
is where i,1.772,3.922,3.155,5.027,2.089,3.685,0.0,3.511
i also like,1.745,5.823,2.408,2.234,6.268,0.0,0.0,3.511
streamer on twitch,1.787,4.991,2.74,1.676,3.134,3.071,4.371,3.471
gmail com http,1.66,3.803,2.823,5.585,4.178,3.685,4.371,3.471
this is where,1.649,3.565,3.155,5.585,1.045,4.913,0.0,3.471
if you don’t,3.214,2.733,4.068,2.793,3.134,3.071,4.371,3.431
mom of two,2.841,0.0,6.891,0.559,0.0,1.228,0.0,3.431
free to dm,1.554,5.348,2.242,4.468,4.178,0.614,4.371,3.431
by way of,2.013,2.971,4.483,0.559,2.089,1.228,4.371,3.391
associate professor of,1.679,4.516,3.321,2.234,0.0,1.843,0.0,3.391
on the side,1.811,4.159,2.657,2.234,9.401,1.843,4.371,3.351
me on twitch,2.95,3.922,2.325,4.468,6.268,4.299,4.371,3.312
software engineer at,1.008,7.131,1.162,1.117,2.089,0.614,17.483,3.312
my best friend,3.85,2.971,3.736,4.468,0.0,1.228,8.741,3.272
if you like,2.737,4.397,2.574,1.676,6.268,1.843,8.741,3.272
have a good,2.665,3.922,2.408,6.144,1.045,3.685,8.741,3.272
so i can,2.303,2.733,3.653,4.468,3.134,1.843,4.371,3.272
if you wanna,2.134,4.397,1.827,7.261,4.178,3.071,4.371,3.272
at the same,1.866,3.328,3.653,0.0,2.089,3.685,8.741,3.272
working on a,1.339,3.803,2.408,5.027,7.312,1.843,8.741,3.272
married to my,4.338,2.852,4.068,2.234,1.045,1.228,4.371,3.232
a long time,3.918,2.258,3.819,1.676,3.134,4.913,8.741,3.232
i just wanna,1.839,2.377,3.487,5.027,4.178,3.685,0.0,3.232
for business inquiries,1.758,5.823,1.744,1.676,5.223,1.843,0.0,3.232
views of my,1.363,4.991,2.906,1.117,2.089,0.0,0.0,3.232
and other stuff,1.343,5.348,2.076,3.351,2.089,1.843,0.0,3.232
play games and,1.164,4.159,1.993,5.027,3.134,4.299,13.112,3.232
dms open for,1.08,4.041,1.328,6.702,7.312,5.528,8.741,3.192
the love of,4.134,2.377,3.985,3.351,1.045,1.843,4.371,3.152
at https //t,2.847,6.18,1.91,1.117,0.0,0.614,4.371,3.152
hi my name,2.028,2.733,2.408,6.144,5.223,6.142,4.371,3.152
the same time,1.756,3.09,3.653,0.0,2.089,3.071,8.741,3.152
my life is,2.81,2.615,3.57,2.793,2.089,3.071,4.371,3.112
is my favorite,2.173,3.922,2.906,2.234,2.089,2.457,0.0,3.112
be a good,2.035,3.684,2.74,2.793,5.223,2.457,0.0,3.112
my own opinions,1.372,4.041,3.072,2.793,1.045,0.614,0.0,3.112
currently working on,1.251,5.348,1.411,6.144,1.045,2.457,0.0,3.112
who loves to,3.701,3.209,2.74,3.351,5.223,3.685,0.0,3.072
do not follow,1.148,3.209,1.91,8.936,2.089,4.299,8.741,3.072
married to a,3.109,3.684,3.155,0.559,0.0,2.457,8.741,3.032
i like the,1.679,3.328,2.906,2.793,1.045,3.071,8.741,3.032
but you can,1.624,2.971,2.242,3.351,2.089,6.142,26.224,3.032
https //www youtube,6.798,5.586,1.411,2.234,6.268,0.614,0.0,2.992
there is no,4.32,2.852,3.653,1.676,2.089,0.614,4.371,2.992
click the link,5.628,2.496,3.155,2.234,2.089,5.528,0.0,2.952
in this world,3.251,3.328,3.072,1.676,4.178,1.228,0.0,2.952
and i have,2.57,2.733,3.321,2.234,2.089,2.457,4.371,2.952
try to be,1.714,5.586,1.494,1.117,4.178,1.843,0.0,2.952
i work in,1.587,3.922,2.657,2.793,0.0,2.457,0.0,2.952
just a little,1.24,2.496,2.657,2.793,9.401,4.299,0.0,2.952
bit of a,1.229,3.922,2.325,3.351,5.223,1.228,0.0,2.952
things i like,1.179,4.278,1.661,2.793,5.223,3.685,8.741,2.952
at this point,1.256,1.783,3.155,5.027,4.178,4.299,0.0,2.913
if you need,2.47,3.328,2.242,5.027,4.178,2.457,0.0,2.873
president of the,2.246,3.803,2.823,1.117,0.0,2.457,0.0,2.873
lover of music,2.224,2.852,3.238,2.234,2.089,1.228,4.371,2.873
but i am,1.827,2.377,2.823,5.585,1.045,3.685,4.371,2.873
trying to survive,1.512,2.852,3.155,2.793,2.089,1.843,0.0,2.873
as well as,4.942,3.684,1.993,2.793,5.223,3.071,4.371,2.833
if you don't,3.705,2.971,2.657,2.234,2.089,3.685,8.741,2.833
a guy who,3.466,7.725,0.083,0.559,2.089,0.0,8.741,2.833
i can be,3.251,4.159,1.494,2.793,6.268,3.685,4.371,2.833
little bit of,2.254,2.496,3.404,1.117,3.134,2.457,0.0,2.833
i stream on,1.572,4.041,1.494,5.585,1.045,1.843,21.853,2.833
stand with ukraine,1.539,3.684,2.159,3.91,1.045,3.685,0.0,2.833
views and opinions,1.326,4.041,2.491,2.793,2.089,0.0,0.0,2.833
21 years old,1.023,4.516,1.577,2.234,1.045,3.685,13.112,2.833
assistant professor at,1.006,4.397,2.657,0.0,2.089,0.0,0.0,2.833
what i want,2.715,2.852,2.989,1.676,0.0,4.299,0.0,2.793
here to make,1.912,3.09,2.574,3.91,1.045,3.071,0.0,2.793
playing video games,1.859,4.041,1.827,2.793,1.045,4.299,4.371,2.793
to meet you,1.372,3.803,1.993,1.117,5.223,3.071,8.741,2.793
have a lot,1.214,2.258,3.653,2.234,1.045,1.228,0.0,2.793
in the making,3.198,2.258,3.155,3.91,3.134,1.228,0.0,2.753
the intersection of,1.906,3.09,3.072,2.234,1.045,0.614,0.0,2.753
husband and father,7.354,7.725,0.0,0.0,3.134,0.0,0.0,2.713
father of two,5.719,7.844,0.083,0.0,0.0,0.0,4.371,2.713
hit me up,3.89,5.229,1.245,2.234,3.134,0.614,4.371,2.713
change the world,3.194,2.733,2.989,2.793,1.045,1.228,4.371,2.713
retweets are not,3.067,4.159,2.159,1.676,2.089,0.614,4.371,2.713
if you have,2.845,3.209,2.408,2.793,3.134,1.228,8.741,2.713
always looking for,2.74,3.09,2.491,1.676,4.178,2.457,4.371,2.713
to be here,1.736,2.258,2.74,2.234,7.312,2.457,4.371,2.713
my own views,1.016,4.397,2.076,0.559,1.045,2.457,0.0,2.713
the link below,4.5,2.852,2.491,2.793,3.134,3.071,0.0,2.673
i just be,2.527,2.733,2.408,2.793,2.089,4.299,4.371,2.673
to become a,2.274,2.852,2.657,3.351,1.045,2.457,0.0,2.673
stay at home,2.116,3.328,2.74,1.117,3.134,0.614,0.0,2.673
i have an,1.504,2.971,1.993,2.793,4.178,4.299,8.741,2.673
kind of a,1.016,3.684,2.491,1.676,3.134,0.0,0.0,2.673
the power of,3.688,2.258,2.906,3.351,1.045,3.071,0.0,2.633
married to the,3.119,2.971,2.657,3.351,2.089,0.614,0.0,2.633
of my own,2.149,3.328,2.574,1.117,4.178,0.614,0.0,2.633
is out now,1.974,2.733,2.906,2.234,3.134,0.0,4.371,2.633
my own rt,1.286,3.328,2.657,1.676,1.045,1.228,0.0,2.633
ph d student,1.209,2.377,3.072,2.793,1.045,1.843,0.0,2.633
all the things,1.045,1.664,3.985,0.559,1.045,0.614,4.371,2.633
the world is,3.807,2.733,2.823,2.234,2.089,0.614,4.371,2.593
with a passion,2.68,2.496,2.823,3.351,3.134,0.614,0.0,2.593
huge fan of,2.678,3.209,2.574,1.117,3.134,1.228,0.0,2.593
in my head,1.53,2.139,2.74,2.793,4.178,2.457,4.371,2.593
don’t know what,1.445,2.377,2.657,1.676,1.045,4.299,8.741,2.593
all i do,1.405,1.07,2.657,4.468,5.223,6.142,4.371,2.593
my best life,3.732,1.901,3.238,3.351,1.045,1.228,0.0,2.553
https //www amazon,2.525,3.209,2.242,3.351,1.045,1.228,4.371,2.553
at university of,1.521,3.803,2.325,1.117,0.0,0.614,4.371,2.553
i do is,1.466,1.188,2.657,3.91,5.223,5.528,4.371,2.553
nice to meet,1.209,3.446,1.827,1.117,4.178,3.071,8.741,2.553
to put here,1.128,3.209,1.827,1.117,7.312,3.071,4.371,2.553
love of my,2.522,2.139,2.906,3.351,0.0,2.457,0.0,2.514
you can find,2.417,1.901,2.325,3.351,5.223,3.071,13.112,2.514
i’m here for,2.404,1.426,3.072,2.793,3.134,3.071,4.371,2.514
be a better,1.616,3.09,2.574,0.0,2.089,2.457,0.0,2.514
mom to a,1.291,0.0,5.065,0.0,0.0,1.228,0.0,2.514
league of legends,1.183,4.278,1.577,1.117,5.223,0.614,0.0,2.514
this is an,1.006,2.615,1.993,5.027,1.045,3.071,8.741,2.514
to have fun,5.253,3.684,1.577,3.91,2.089,0.614,8.741,2.474
i love the,5.163,2.615,2.574,1.117,4.178,1.843,0.0,2.474
life is a,4.32,1.307,3.487,1.676,1.045,3.071,0.0,2.474
what i do,3.554,2.852,2.408,2.234,1.045,1.228,8.741,2.474
i stand with,1.963,3.446,1.744,1.676,2.089,4.299,0.0,2.474
time to time,1.677,3.565,1.744,2.793,4.178,0.0,8.741,2.474
to make friends,1.326,3.328,1.91,1.117,4.178,3.071,0.0,2.474
i just like,1.253,3.209,1.827,1.676,3.134,3.071,8.741,2.474
not affiliated with,3.662,3.328,1.993,1.676,1.045,2.457,4.371,2.434
you need to,3.624,2.139,2.408,3.91,4.178,1.843,0.0,2.434
in a world,3.007,2.377,2.408,2.793,2.089,3.071,0.0,2.434
just a dude,2.669,6.417,0.0,0.0,7.312,0.0,0.0,2.434
i will not,1.982,1.783,3.155,1.676,1.045,2.457,0.0,2.434
most of my,1.629,3.565,1.494,1.676,4.178,3.071,4.371,2.434
like to make,1.227,3.09,1.993,2.793,1.045,3.071,0.0,2.434
i wish i,1.168,2.258,2.325,1.676,2.089,3.685,13.112,2.434
and pop culture,1.038,3.328,2.242,1.117,1.045,1.843,0.0,2.434
one of those,1.008,2.615,1.827,4.468,2.089,4.299,0.0,2.434
my thoughts are,1.006,2.615,2.657,1.117,1.045,2.457,0.0,2.434
link in bio,4.687,2.496,1.494,6.144,0.0,5.528,4.371,2.394
is my life,2.985,2.615,2.408,1.676,2.089,1.843,4.371,2.394
follow me for,2.595,3.446,2.076,0.559,1.045,2.457,0.0,2.394
