token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
creator,74.312,135.362,76.383,115.61,125.353,114.851,61.189,103.217
minors,15.077,113.376,61.356,197.71,252.794,143.717,222.902,102.698
will,102.9,117.773,91.079,107.791,111.773,84.756,170.455,102.339
books,40.956,73.207,141.89,41.888,37.606,65.103,74.301,102.099
world,138.368,111.712,104.28,79.307,76.256,65.717,91.783,101.301
can,109.554,108.384,94.981,106.116,102.371,95.811,152.972,101.142
other,60.388,133.817,82.693,92.712,97.148,64.488,135.49,100.424
aspiring,32.57,122.883,77.214,96.621,147.289,71.858,122.378,96.673
28,21.012,85.685,80.369,173.136,146.245,146.174,166.084,96.354
acab,8.62,91.033,61.605,204.412,233.991,164.599,187.937,96.115
big,72.642,120.15,80.452,97.738,100.282,78.0,113.636,95.915
dm,84.182,122.883,65.175,136.833,148.334,98.882,100.524,95.357
feminist,15.68,32.087,153.265,51.382,14.624,79.229,118.007,94.878
don't,76.455,110.761,78.376,112.818,113.862,86.599,192.308,94.638
d,51.69,117.298,77.795,99.972,90.881,84.756,104.895,93.841
health,64.133,64.769,127.361,59.201,35.517,63.26,61.189,93.202
up,112.632,102.918,90.0,70.93,84.613,93.969,87.413,93.003
husband,163.216,247.311,12.039,10.612,44.918,3.071,34.965,91.806
some,65.307,128.112,67.832,83.775,104.46,67.559,144.231,91.287
politics,51.232,128.944,81.863,45.797,60.587,33.78,74.301,91.088
banner,12.208,130.489,44.419,143.535,195.341,101.339,166.084,90.968
person,44.416,90.914,85.184,125.105,92.97,86.599,100.524,90.489
cats,26.354,56.094,117.398,88.244,47.007,82.914,56.818,89.252
work,75.247,96.381,84.354,94.946,78.345,78.614,100.524,88.694
play,55.842,138.095,52.97,90.478,113.862,73.087,122.378,88.494
book,41.981,67.978,114.077,49.707,39.695,64.488,61.189,87.457
get,109.848,96.619,83.773,82.1,83.568,71.244,83.042,87.138
best,96.752,101.135,78.957,79.866,79.39,77.386,122.378,86.779
please,47.364,79.624,70.738,173.136,134.754,101.953,209.79,86.779
follow,135.587,104.106,70.489,99.414,109.683,82.299,126.748,86.619
member,58.851,108.622,80.535,54.175,64.765,54.047,43.706,85.422
day,82.483,97.926,83.025,65.345,62.676,70.016,78.671,85.103
living,99.772,90.439,89.418,70.371,57.453,52.819,74.301,84.664
furry,12.726,129.301,28.81,129.014,229.813,87.827,301.573,83.706
30,27.987,74.395,74.059,136.275,122.219,115.465,131.119,83.666
player,54.753,147.246,45.083,77.073,86.702,47.906,65.559,83.627
coffee,35.121,63.7,107.269,48.59,64.765,63.26,56.818,83.507
digital,50.529,78.317,83.358,88.244,91.925,90.898,122.378,83.188
bisexual,12.295,70.236,76.051,94.946,130.576,142.489,192.308,82.908
tech,60.86,116.347,70.406,51.941,65.81,42.992,74.301,82.589
lot,30.423,84.14,81.033,82.1,86.702,83.528,87.413,82.589
photographer,60.838,97.807,75.968,74.839,90.881,54.662,65.559,82.31
guy,79.232,211.54,7.057,18.989,127.442,13.512,78.671,82.23
geek,29.324,111.355,78.127,27.925,43.873,42.378,48.077,81.791
know,77.974,82.596,77.629,93.829,84.613,80.457,100.524,81.113
loves,58.733,86.398,83.773,60.877,73.122,51.591,109.266,80.754
don’t,76.108,73.326,85.018,82.658,58.498,95.811,83.042,80.594
reader,26.852,41.595,121.549,36.861,21.937,60.189,52.448,80.235
dms,37.685,104.7,57.952,82.1,142.066,69.402,96.154,79.677
actor,30.153,121.814,49.566,75.398,121.174,63.26,69.93,79.477
sports,176.613,132.509,62.435,16.755,37.606,23.339,39.336,78.998
affiliate,29.539,103.631,59.28,69.813,101.327,89.055,69.93,78.56
software,34.129,157.466,35.95,46.914,47.007,31.323,78.671,78.041
main,24.823,105.413,46.079,108.908,119.085,101.953,91.783,77.323
2,99.678,78.911,81.946,55.292,58.498,66.331,96.154,77.243
married,63.049,77.366,80.12,70.93,58.498,64.488,113.636,77.003
writing,27.635,69.761,86.014,66.462,54.319,70.016,69.93,76.764
go,96.075,87.468,71.319,59.201,72.078,59.575,91.783,75.328
29,18.231,73.088,58.948,135.716,137.888,93.355,148.601,75.248
